UNIT,EXERCISE,ENGLISH,KOREAN,ANSWER1,ANSWER2,WORD,TRANS
1,1,This new product falls under the electronics c__________.,이 새로운 제품은 전자 제품 범주에 속한다.,category,,category,범주
1,1,I e__________ an old friend at the town coffee shop last week.,나는 지난주에 시내 커피숍에서 옛 친구를 우연히 만났다.,encountered,,encounter,마주치다
1,1,The submission deadline will be extended only in e__________ circumstances.,제출 마감일은 예외적인 상황에서만 연장될 것이다.,exceptional,,exceptional,예외적인
1,2,He has a d__________ for people who are rude and impolite.,그는 무례하고 버릇없는 사람들에 대한 혐오가 있다.,dislike,,dislike,혐오
1,2,Problems at work continued to o__________ his mind for some time.,직장에서의 문제가 그의 마음을 한동안 계속 차지했다.,occupy,,occupy,차지하다
1,2,The cash bonus turned out to be a powerful i__________ for employees.,현금 보너스는 직원들에게 있어 강력한 유인책임이 드러났다.,incentive,,incentive,유인책
1,3,Tensions continued to e__________ between the two rival nations.,두 경쟁 국가 간의 긴장은 계속 격화되었다.,escalate,,escalate,격화되다
1,3,Her claim that the fish she caught was as big as a whale was a clear e__________.,그녀가 잡은 물고기가 고래만큼 크다는 그녀의 주장은 명백한 과장이었다.,exaggeration,,exaggeration,과장
1,3,The advertisement's d__________ claims misled many consumers.,그 광고의 기만적인 주장은 많은 소비자를 오도했다.,deceptive,,deceptive,기만적인
1,4,Each culture develops its own social n__________.,각 문화는 고유한 사회 규범을 발전시킨다.,norms,,norm,규범
1,4,The p__________ quickly called for help after he witnessed the car accident on the busy street.,그 행인은 붐비는 거리에서 자동차 사고를 목격한 후 재빨리 도움을 요청했다.,passerby,,passerby,행인
1,4,"The customer service representative remained u__________ to my inquiries, leaving me dissatisfied.",고객 서비스 담당자가 내 문의에 계속 응답하지 않아 나를 불만스럽게 했다.,unresponsive,,unresponsive,무반응한
1,5,René Descartes is regarded as the founder of modern p__________.,René Descartes는 근대 철학의 창시자로 여겨진다.,philosophy,,philosophy,철학
1,5,The tribe's shared cultural h__________ fostered a deep sense of community and belonging.,부족의 공유된 문화 유산은 깊은 공동체 의식과 소속감을 조성했다.,heritage,,heritage,유산
1,5,The ancient temple held deep r__________ significance for the community.,그 고대 사원은 지역 사회에 깊은 종교적 의미를 지니고 있었다.,religious,,religious,종교적인
1,6,Excessive c__________ often hinders individual creativity and innovation.,지나친 집중화는 개인의 창의성과 혁신을 가로막는 경우가 많다.,centralization,,centralize,집중화하다
1,6,New members will be i__________ with a temporary identity card.,신입 회원에게는 임시 신분증이 발급될 예정이다.,issued,,issue,발급하다
1,6,The new software is designed to a__________ users in managing their finances.,새로운 소프트웨어는 사용자가 재정을 관리하는 것을 돕도록 설계되었다.,assist,,assist,돕다
1,7,What is the p__________ cause of global warming?,지구 온난화의 주요 원인은 무엇인가?,primary,,primary,주요한
1,7,Parents travel abroad with children to give them e__________ to other cultures.,부모는 자녀에게 다른 문화를 접하게 하기 위해 아이와 함께 해외 여행을 한다.,exposure,,expose,노출시키다
1,7,"In the wild, animals often show a__________ to protect their territory.",야생에서 동물들은 자신의 영역을 지키기 위해 공격성을 자주 드러낸다.,aggression,,aggression,공격성
1,8,The loud music was a d__________ influence on the students taking the exam.,시끄러운 음악이 시험을 치르는 학생들에게 방해가 되는 영향을 주었다.,disruptive,,disruptive,방해가 되는
1,8,His raised eyebrow was a c__________ that he was uncertain about the plan.,그의 올라간 눈썹은 그가 계획에 대해 확신이 없다는 신호였다.,cue,,cue,신호
1,8,Please try to c__________ fully on what the teacher is saying.,선생님이 말씀하시는 것에 완전히 집중되도록 노력해 주세요.,concentrate,,concentrate,집중하다
1,9,We extended online ordering options for the c__________ of our customers.,우리는 고객의 편의성을 위해 온라인 주문 선택을 확대했다.,convenience,,convenience,편의성
1,9,Investors are always seeking opportunities to maximize their p__________ in the stock market.,투자자들은 항상 주식시장에서 자신의 수익을 극대화할 기회를 찾고 있다.,profit,profits,profit,수익
1,9,The lawyer chose to s__________ in human rights law to fight for freedom and justice.,그 변호사는 자유와 정의를 위해 싸우기 위해 인권법을 전문으로 하기로 선택했다.,specialize,,specialize,전문으로 하다
1,10,My mother is s__________ vegetables into small pieces to add them to the soup.,나의 어머니는 수프에 넣기 위해 채소를 잘게 자르고 있다.,slicing,,slice,자르다
1,10,His r__________ to the news of his promotion was a mix of surprise and delight.,자신의 승진 소식에 대한 그의 반응에는 놀라운과 기쁨이 섞여 있었다.,reaction,,reaction,반응
1,10,I v__________ remember the warmth of the sun as if it were yesterday.,나는 그 햇볕의 따스함을 마치 어제 일처럼 생생하게 기억했다.,vividly,,vivid,생생한
1,11,He conducted a study to determine if diet could be a v__________ affecting mood.,그는 식단이 기분에 영향을 미치는 변수가 될 수 있는지 알아보기 위해 연구를 수행했다.,variable,,variable,변수
1,11,"Environmental issues have political d__________, which means they often involve government policies. ","환경 문제에는 정치적 차원이 있는데, 이는 많은 경우 그것이 정부 정책을 수반한다는 것을 의미한다.",dimensions,,dimension,차원
1,11,She realized her p__________ against people with disabilities was unfair.,그녀는 장애인에 대한 자신의 편견이 부당하다는 것을 깨달았다.,prejudice,,prejudice,편견
1,12,Never a__________ someone's intentions without clear communication.,명확한 의사소통 없이 다른 사람의 의도를 추정하지 말라.,assume,,assume,추정하다
1,12,A good leader is always r__________ to employees' needs and suggestions.,좋은 지도자는 직원의 요구와 제안에 항상 즉각 반응한다.,responsive,,responsive,반응하는
1,12,The c__________ between the two countries evolved into a full-scale war.,양국 간의 충돌은 전면전으로 발전했다.,conflict,conflicts,conflict,충돌
2,1,"She stood staring at the accident, unable to c__________.",그녀는 이해할 수 없어서 그 사고를 바라보고 서 있었다.,comprehend,,comprehend,이해하다
2,1,He studied five foreign languages but is f__________ in only three of them.,그는 5개 외국어를 공부했지만 그중 3개만 유창하다.,fluent,,fluent,유창한
2,1,Football season o__________ the baseball season in September.,9월에는 축구 시즌이 야구 시즌과 겹친다.,overlaps,,overlap,겹치다
2,2,"""It's only a suspicion,"" the police officer said, ""nothing c__________.""","""그것은 단지 의심일 뿐이고요, 구체적인 것은 없습니다.""라고 경찰관이 말했다.",concrete,,concrete,구체적인
2,2,The family struggle to balance their household b__________.,그 가족은 그들의 가게 예산의 균형을 맞추기 위해 고군분투했다.,budget,budgets,budget,예산
2,2,Einstein was a mathematical g__________.,아인슈타인은 수학 천재였다.,genius,,genius,천재
2,3,Many companies are coming to e__________ the natural resources.,많은 기업들이 천연자원을 개발하기 위해 오고 있다.,exploit,,exploit,이용하다
2,3,A new system has been d__________ to control the air pollution in the city.,도시의 대기 오염을 통제하기 위해 새로운 시스템이 고안되었다.,devised,,devise,고안하다
2,3,The region has many d__________ of valuable oil.,그 지역에는 귀중한 석유의 매장층이 많다.,deposits,,deposit,매장층
2,4,She suffered m__________ injuries in the crash.,그녀는 그 충돌 사고에서 복합적인/많은 부상을 입었다.,multiple,many,multiple,다수의
2,4,This issue has no r__________ to the current situation.,이 문제는 현재 상황과 관련이 없다.,relevance,,relevance,관련성
