KOREAN,JAPANESE,ISHIRA,
파랑,아오,1,
집,이에,1,
얼굴,카오,1,
목소리,코에,1,
스시/초밥,수시,1,
일(1),이치,1,
책상, 츠쿠에, 1,
강아지, 이누, 1,
고양이, 네코, 1,
꽃, 하나, 1,
사람, 히토, 1,
비, 아메, 1,
기모노, 키모노, 1,
산, 야마, 1,
눈, 유키, 1,
벚꽃, 사쿠라, 1,
자동차, 쿠루마, 1,
나, 와타시, 1,
일본, 니호ㄴ, 1,
가족, 카조쿠, 1,
불꽃놀이, 하나비, 1,
반짝반짝, 피카피카, 0,
꼬르륵, 페코페코, 0,
가수, 카시ㅠ, 1,
식사, 시ㅛ쿠지, 1,
백(100), 히ㅑ쿠, 1,
삼일(3일), 미ㅅ카, 1,
읽다, 이ㅅ시ㅛ, 1,
우표, 키ㅅ테, 1,
삿포로, 사ㅅ포로, 1,
신문, 시ㄴ부ㄴ, 1,
겐다마, 케ㄴ다마, 1,
음악, 오ㄴ가쿠, 1,
후지산, 후지사ㄴ, 1,
수학, 수우가쿠, 1,
영화, 에이가, 1,
많다, 오오이, 1,
아저씨, 오지사ㄴ, 1,
할아버지, 오지이사ㄴ, 1,
화재, 카지, 1,
한자, 카ㄴ지, 1,
1, 이치, 1,
2, 니, 1,
3, 사ㄴ, 1,
4, 요ㄴ, 1,
5, 고, 1,
6, 로쿠, 1,
7, 나나, 1,
8, 하치, 1,
9, 키ㅠ우, 1,
10, 지ㅠ우, 1,
0, 제로, 0,
한국, 카ㄴ코쿠, 1, 
중국, 치ㅠ우고쿠, 1,
일본, 니호ㄴ, 1,
프랑스, 후라ㄴ수, 0,
미국, 아메리카, 0,
취미, 시ㅠ미, 1,
야구, 야키ㅠ우, 1,
요리, 리ㅛ오리, 1,
게임, 게ㅡ무, 0,
축구, 사ㅅ카ㅡ, 0,
여행, 리ㅛ코우, 1,
피아노, 피아노, 0,
휴대전화, 케이타이, 1,
번호, 바ㄴ고우, 1,
친구, 토모다치, 1,
선생님, 세ㄴ세이, 1,
여러분, 미나사ㄴ, 1,
이름, 나마에, 1,
(자신소개)아빠, 치치, 1,
(타인소개)아빠, 오토우사ㄴ, 1,
(자신소개)엄마, 하하, 1,
(타인소개)엄마, 오카아사ㄴ, 1,
(자신소개)형/오빠, 아니, 1,
(타인소개)형/오빠, 오니이사ㄴ, 1,
(자신소개)언니/누나, 아네, 1,
(타인소개)언니/누나, 오네에사ㄴ, 1,
(자신소개)남동생, 오토우토, 1,
(타인소개)남동생, 오토우토사ㄴ, 1,
(자신소개)여동생, 이모우토, 1,
(타인소개)여동생, 이모우토사ㄴ, 1,
사과, 리ㄴ고, 1,
케이크, 케ㅡ키, 0,
쥬스, 지ㅠㅡ수, 0,
화과자, 오카시, 1,
차, 오치ㅑ, 1,
사진, 시ㅑ시ㄴ, 1,
고등학생, 코우코우세이, 1,
대학생, 다이가쿠세이, 1,
두명, 후타리, 1,
단독주택, 이ㅅ코다테, 1,
아파트(고층), 마ㄴ시ㅛㄴ, 0,
연립주택(빌라), 아파ㅡ토, 0,
이것, 코레, 1,
그것, 소레, 1,
저것, 아레, 1,
어느것, 토레, 1,
여기, 코코, 1,
거기, 소코, 1,
저기, 아소코, 1,
어디, 토코, 1,
이쪽, 코치라, 1,
그쪽, 소치라, 1,
저쪽, 아치라, 1,
어느쪽, 토치라, 1,
(대명사)이, 코노, 1,
(대명사)그, 소노, 1,
(대명사)저, 아노, 1,
(대명사)어느, 토노, 1,
안녕(아침), 오하요우, 1,
안녕(점심), 코ㄴ니치와, 1,
